Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Extensions Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Tier 2 subs,Tier 3 subs,Total Gifted Subs,Gifted Tier 1 subs
Thu Sep 17 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Sep 18 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Sep 19 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Sep 20 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,1,1,0,0,0,0
Mon Sep 21 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Sep 22 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,0,0,0,0,1,1,0,0,0,0
Wed Sep 23 2020,0,0,3.69,556,15,0,0,2,55.45,42,10,761,206,27,0,0,0,0,0.0175,0,0,0,0,0,0,0,0
Thu Sep 24 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Fri Sep 25 2020,0,0,4.54,336,13,0,0,1,0.53,57,9,1125,248,32,0,0,0,0,0.0105,0,0,0,0,0,0,0,0
Sat Sep 26 2020,0,0,4.38,185,12,0,0,0,22.95,63,13,941,215,37,2.145,0,79.73,15,0.042,0,0,1,1,0,0,35,35
Sun Sep 27 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.395,0,9.59,0,0,0,0,1,1,0,0,4,4
Mon Sep 28 2020,0,0,3.5,162,12,0,0,2,0,42,8,749,214,20,0,0,0,0,0.035,0,0,0,0,0,0,0,0
Tue Sep 29 2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0035,0.8,0,0,0,0,0,0,0
Wed Sep 30 2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.395,0,0,0,0,0,0,1,1,0,0,0,0
Thu Oct 01 2020,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0035,0,0,0,0,0,0,0,0
Fri Oct 02 2020,0,0,5.51,486,17,0,0,0,0,50,11,1988,361,32,2.1,0,0,0,0.035,0,0,1,1,0,0,0,0
Sat Oct 03 2020,0,0,5.4,482,14,0,0,1,14.26,50,11,1031,191,29,0,0,0,10,0.0245,1.6,0,0,0,0,0,0,0
Sun Oct 04 2020,0,0,3.83,83,6,0,0,2,5.57,11,8,287,75,6,0,0,0,5,0.0105,0,0,0,0,0,0,0,0
Mon Oct 05 2020,0,0,3.79,418,12,0,1,1,0,44,8,1015,268,21,2.415,0,0,0,0.021,0,0,1,1,0,0,0,0
Tue Oct 06 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0
Wed Oct 07 2020,0,0,3.88,232,9,0,0,1,6.96,36,10,718,185,20,0,0,0,0,0.021,0,0,0,0,0,0,0,0
Thu Oct 08 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Oct 09 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035,0,0,0,0,0,0,0,0
Sat Oct 10 2020,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Oct 11 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08,0,0,0,0,0,0,3,3,0,0,0,0
Mon Oct 12 2020,0,0,3.64,519,20,0,0,2,0,75,10,1444,397,41,0,0,0,0,0.0595,0.8,0,0,0,0,0,0,0
Tue Oct 13 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Oct 14 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Oct 15 2020,0,0,1.95,63,8,0,0,2,0,21,5,205,106,15,0,0,0,0,0.014,0,0,0,0,0,0,0,0
Fri Oct 16 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Oct 17 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Oct 18 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Oct 19 2020,0,0,7.58,1296,23,1,2,1,0,68,14,1782,234,42,0,0,0,0,0.0105,0,0,0,0,0,0,0,0
Tue Oct 20 2020,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6.885,0,195.505,6,0,1.2,0,2,1,1,0,86,86
Wed Oct 21 2020,0,0,2.09,331,13,0,0,1,1.46,39,9,548,261,30,0,0,0,0,0.0175,0,0,0,0,0,0,0,0
Thu Oct 22 2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.38,0,52.415,0,0.0035,1.2,0,1,1,0,0,25,25
Fri Oct 23 2020,0,0,2.5,304,12,0,0,1,10.05,40,7,557,223,25,0,0,0,0,0.0105,0,0,0,0,0,0,0,0
Sat Oct 24 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.385,0,0,1.2,0,0,0,0,0,1,1
Sun Oct 25 2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Oct 26 2020,0,0,5.37,282,16,8,1,3,31.78,47,15,881,164,32,2.145,0,4.775,0,0.014,0,0,1,1,0,0,2,2
Tue Oct 27 2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.385,0,0,0,0,0,0,0,0,1,1
Wed Oct 28 2020,0,0,2.39,401,18,2,0,1,0,57,7,762,318,35,0,0,0,0,0.0315,0,0,0,0,0,0,0,0
Thu Oct 29 2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fri Oct 30 2020,0,0,5.15,1967,21,0,1,1,4.12,127,14,3085,599,57,2.43,0,0,0,0.084,0,0,1,1,0,0,0,0
